Netlist file: net.in   Architecture file: arch.in
Array size: 92 x 92 logic blocks

#block name	x	y	subblk	block number
#----------	--	--	------	------------
pi18		0	40	0	#0
pi236		58	0	0	#1
pi247		62	93	0	#2
pi17		93	60	0	#3
pi237		85	0	0	#4
pi246		62	0	0	#5
pi27		93	16	0	#6
pi238		66	93	0	#7
pi249		93	89	0	#8
pi19		0	27	0	#9
pi239		75	93	1	#10
pi248		89	0	1	#11
pi58		93	37	0	#12
pi69		60	0	0	#13
pi232		83	0	0	#14
pi243		56	0	1	#15
pi254		58	93	1	#16
pi57		69	0	0	#17
pi233		93	43	0	#18
pi242		93	55	1	#19
pi255		90	93	1	#20
pi49		22	0	0	#21
pi67		78	0	1	#22
pi234		43	0	0	#23
pi245		47	93	0	#24
pi252		93	2	1	#25
pi59		84	0	0	#26
pi68		75	0	1	#27
pi235		43	93	1	#28
pi244		59	0	0	#29
pi253		68	93	0	#30
pi250		93	77	1	#31
pi251		87	0	0	#32
pi241		93	50	1	#33
pi240		42	93	0	#34
pclk		0	58	0	#35
pi21		73	93	0	#36
pi54		91	0	0	#37
pi65		93	39	0	#38
pi22		0	65	0	#39
pi53		0	41	1	#40
pi66		93	1	0	#41
pi56		93	49	0	#42
pi63		93	13	0	#43
pi20		0	38	0	#44
pi55		0	36	0	#45
pi64		93	11	1	#46
pi25		74	0	0	#47
pi50		93	14	0	#48
pi61		23	0	0	#49
pi72		25	0	1	#50
pi26		93	27	0	#51
pi62		80	0	0	#52
pi71		93	4	0	#53
pi16		0	6	0	#54
pi23		88	93	0	#55
pi52		26	0	0	#56
pi70		88	0	1	#57
pi15		93	34	0	#58
pi24		93	90	0	#59
pi51		93	47	1	#60
pi60		34	0	0	#61
out:p__cmx0ad_11	87	93	0	#62
out:p__cmx0ad_22	93	13	1	#63
out:p__cmx0ad_33	39	93	0	#64
out:p__cmx1ad_7	75	93	0	#65
out:p__cmx0ad_10	92	93	0	#66
out:p__cmx0ad_23	93	11	0	#67
out:p__cmx0ad_32	2	0	0	#68
out:p__cmx1ad_8	93	3	0	#69
out:p__cmx0ad_24	93	39	1	#70
out:p__cmx0ad_35	3	0	0	#71
out:p__cmx1ad_5	85	0	1	#72
out:p__cmx0ad_25	92	0	0	#73
out:p__cmx0ad_34	90	0	0	#74
out:p__cmx1ad_6	66	93	1	#75
out:p__cmnxcp_0	46	93	0	#76
out:p__cmx0ad_15	93	45	0	#77
out:p__cmx1ad_16	42	93	1	#78
out:p__cmx1ad_27	87	0	1	#79
out:p__cmxcl_0	45	93	1	#80
out:p__cmnxcp_1	48	93	0	#81
out:p__cmx0ad_14	47	0	0	#82
out:p__cmx1ad_17	93	50	0	#83
out:p__cmx1ad_26	93	77	0	#84
out:p__cmxcl_1	46	93	1	#85
out:p__cmx0ad_13	50	0	0	#86
out:p__cmx0ad_20	23	0	1	#87
out:p__cmx0ad_31	25	0	0	#88
out:p__cmx1ad_9	84	93	0	#89
out:p__cmx1ad_18	93	55	0	#90
out:p__cmx1ad_29	68	93	1	#91
out:p__cmx0ad_12	52	0	0	#92
out:p__cmx0ad_21	80	0	1	#93
out:p__cmx0ad_30	93	4	1	#94
out:p__cmx1ad_19	56	0	0	#95
out:p__cmx1ad_28	93	2	0	#96
out:p__cmx0ad_8	93	40	0	#97
out:p__cmx0ad_9	28	0	0	#98
out:p__cmx1ad_0	83	0	1	#99
out:p__cmndst1p0	40	93	0	#100
out:p__cmx0ad_6	0	36	1	#101
out:p__cmx0ad_7	93	49	1	#102
out:p__cmx1ad_3	43	93	0	#103
out:p__cmndst0p0	0	49	0	#104
out:p__cmx1ad_4	58	0	1	#105
out:p__cmx1ad_1	93	43	1	#106
out:p__cmx1ad_2	43	0	1	#107
out:p__cmx0ad_0	22	0	1	#108
out:p__cmx0ad_1	93	14	1	#109
out:p__cmx0ad_4	0	41	0	#110
out:p__cmx0ad_5	91	0	1	#111
out:p__cmxig_0	83	93	0	#112
out:p__cmx0ad_2	93	47	0	#113
out:p__cmxig_1	93	36	0	#114
out:p__cmx0ad_3	26	0	1	#115
out:p__cmx0ad_19	34	0	1	#116
out:p__cmx1ad_12	90	0	1	#117
out:p__cmx1ad_23	62	93	1	#118
out:p__cmx1ad_34	0	34	0	#119
out:p__cmxir_0	45	93	0	#120
out:p__cmx0ad_18	84	0	1	#121
out:p__cmx1ad_13	93	42	0	#122
out:p__cmx1ad_22	62	0	1	#123
out:p__cmx1ad_35	0	37	0	#124
out:p__cmxir_1	93	75	0	#125
out:p__cmx0ad_17	93	37	1	#126
out:p__cmx1ad_14	93	46	0	#127
out:p__cmx1ad_25	93	89	1	#128
out:p__cmx1ad_32	0	5	0	#129
out:p__cmx0ad_16	69	0	1	#130
out:p__cmx1ad_15	93	68	0	#131
out:p__cmx1ad_24	89	0	0	#132
out:p__cmx1ad_33	6	0	0	#133
out:p__cmx0ad_26	78	0	0	#134
out:p__cmx1ad_30	58	93	0	#135
out:p__cmx0ad_27	75	0	0	#136
out:p__cmx1ad_31	90	93	0	#137
out:p__cmx0ad_28	60	0	1	#138
out:p__cmx1ad_10	91	93	0	#139
out:p__cmx1ad_21	48	93	1	#140
out:p__cmx0ad_29	88	0	0	#141
out:p__cmx1ad_11	93	38	0	#142
out:p__cmx1ad_20	59	0	1	#143
ni2		42	69	0	#144
ni3		92	63	0	#145
p__cmx0ad_22	92	13	0	#146
p__cmx1ad_7	75	92	0	#147
p__cmx0ad_23	92	11	0	#148
p__cmx0ad_24	92	39	0	#149
