Size   Duracion
100    0.244æs 
101    0.246æs 
102    0.247æs 
103    0.25æs 
104    0.253æs 
105    0.255æs 
106    0.258æs 
107    0.258æs 
108    0.258æs 
109    0.264æs 
110    0.263æs 
111    0.267æs 
112    0.271æs 
113    0.273æs 
114    0.273æs 
115    0.276æs 
116    0.278æs 
117    0.282æs 
118    0.279æs 
119    0.283æs 
120    0.282æs 
121    0.29æs 
122    0.292æs 
123    0.293æs 
124    0.298æs 
125    0.296æs 
126    0.299æs 
127    0.302æs 
128    0.305æs 
129    0.305æs 
130    0.307æs 

==Media duracion de multiplicacion 0.2849æs 
100    0.255æs 
101    0.236æs 
102    0.235æs 
103    0.235æs 
104    0.239æs 
105    0.239æs 
106    0.242æs 
107    0.244æs 
108    0.247æs 
109    0.248æs 
110    0.25æs 
111    0.251æs 
112    0.253æs 
113    0.255æs 
114    0.258æs 
115    0.261æs 
116    0.261æs 
117    0.263æs 
118    0.265æs 
119    0.27æs 
120    0.272æs 
121    0.271æs 
122    0.278æs 
123    0.28æs 
124    0.278æs 
125    0.28æs 
126    0.282æs 
127    0.287æs 
128    0.288æs 
129    0.287æs 
130    0.29æs 

==Media duracion de suma 0.27æs 
