Tamanio		Duracion
--------------------------- 
100		0.002890 ms
101		0.002890 ms
102		0.002920 ms
103		0.002950 ms
104		0.002990 ms
105		0.002980 ms
106		0.003040 ms
107		0.003050 ms
108		0.003140 ms
109		0.003100 ms
110		0.003110 ms
111		0.003170 ms
112		0.003160 ms
113		0.003190 ms
114		0.003260 ms
115		0.003370 ms
116		0.003240 ms
117		0.003300 ms
118		0.003360 ms
119		0.003360 ms
120		0.003390 ms
121		0.003440 ms
122		0.003460 ms
123		0.003520 ms
124		0.003480 ms
125		0.003700 ms
126		0.003630 ms
127		0.003520 ms
128		0.003600 ms
129		0.003600 ms
130		0.003620 ms
==> Media duracion de multiplicacion 	0.003381 ms 

100		0.002510 ms
101		0.002610 ms
102		0.002570 ms
103		0.002570 ms
104		0.002620 ms
105		0.002630 ms
106		0.002620 ms
107		0.002660 ms
108		0.002670 ms
109		0.002790 ms
110		0.002730 ms
111		0.002740 ms
112		0.002760 ms
113		0.002790 ms
114		0.002830 ms
115		0.002850 ms
116		0.002870 ms
117		0.002830 ms
118		0.002910 ms
119		0.002930 ms
120		0.002990 ms
121		0.002990 ms
122		0.002950 ms
123		0.003030 ms
124		0.003040 ms
125		0.003070 ms
126		0.003090 ms
127		0.003090 ms
128		0.003140 ms
129		0.003140 ms
130		0.003190 ms
==> Duracion media de suma 	0.002940 ms 

