Tamanio		Duracion
--------------------------- 
100		0.019721 s
101		0.019300 s
102		0.018324 s
103		0.018703 s
104		0.020750 s
105		0.020702 s
106		0.019882 s
107		0.022671 s
108		0.020024 s
109		0.020442 s
110		0.020307 s
111		0.019682 s
112		0.019282 s
113		0.019485 s
114		0.020014 s
115		0.019015 s
116		0.018768 s
117		0.019266 s
118		0.019251 s
119		0.019157 s
120		0.018373 s
121		0.018361 s
122		0.018868 s
123		0.018483 s
124		0.018531 s
125		0.019423 s
126		0.018667 s
127		0.020123 s
128		0.019806 s
129		0.018574 s
130		0.020198 s
==> Media duracion de multiplicacion SSE 	0.020138 s 

100		0.019150 s
101		0.020039 s
102		0.018283 s
103		0.018522 s
104		0.018591 s
105		0.019188 s
106		0.018738 s
107		0.018284 s
108		0.018674 s
109		0.020041 s
110		0.019870 s
111		0.019807 s
112		0.019568 s
113		0.019875 s
114		0.018665 s
115		0.018636 s
116		0.018949 s
117		0.018923 s
118		0.018941 s
119		0.018926 s
120		0.018991 s
121		0.019717 s
122		0.020859 s
123		0.021729 s
124		0.020669 s
125		0.019903 s
126		0.021028 s
127		0.021681 s
128		0.021646 s
129		0.019352 s
130		0.020021 s
==> Duracion media de suma SSE 	0.020242 s 

