Tamanio		Duracion
--------------------------- 
100		0.022181 s
101		0.024041 s
102		0.021380 s
103		0.022449 s
104		0.021186 s
105		0.020576 s
106		0.023326 s
107		0.021073 s
108		0.022718 s
109		0.021361 s
110		0.021273 s
111		0.021557 s
112		0.021029 s
113		0.023728 s
114		0.021417 s
115		0.021994 s
116		0.021400 s
117		0.021435 s
118		0.021591 s
119		0.021278 s
120		0.021898 s
121		0.020985 s
122		0.021397 s
123		0.021494 s
124		0.020927 s
125		0.021860 s
126		0.021824 s
127		0.022069 s
128		0.021305 s
129		0.020844 s
130		0.021506 s
==> Media duracion de multiplicacion SSE 	0.022437 s 

100		0.022170 s
101		0.022240 s
102		0.021934 s
103		0.022188 s
104		0.020542 s
105		0.021272 s
106		0.020336 s
107		0.022212 s
108		0.021631 s
109		0.022211 s
110		0.020750 s
111		0.023270 s
112		0.024479 s
113		0.021036 s
114		0.022132 s
115		0.021064 s
116		0.021512 s
117		0.021852 s
118		0.021256 s
119		0.020965 s
120		0.021659 s
121		0.022304 s
122		0.021677 s
123		0.021172 s
124		0.021459 s
125		0.021899 s
126		0.021249 s
127		0.021355 s
128		0.020393 s
129		0.021401 s
130		0.022324 s
==> Duracion media de suma SSE 	0.022398 s 

