Tamanio		Duracion
--------------------------- 
100		0.000000 ms
101		0.000000 ms
102		0.000000 ms
103		0.000000 ms
104		0.000000 ms
105		0.000000 ms
106		0.000000 ms
107		0.000000 ms
108		0.000000 ms
109		0.000000 ms
110		0.000000 ms
111		0.000000 ms
112		0.000000 ms
113		0.000000 ms
114		0.000000 ms
115		0.000000 ms
116		0.000000 ms
117		0.000000 ms
118		0.000000 ms
119		0.000000 ms
120		0.000000 ms
121		0.000000 ms
122		0.000000 ms
123		0.000000 ms
124		0.000000 ms
125		0.000000 ms
126		0.000000 ms
127		0.000000 ms
128		0.000000 ms
129		0.000000 ms
130		0.000000 ms
==> Media duracion de multiplicacion 	0.000000 ms 

100		0.000000 ms
101		0.000000 ms
102		0.000000 ms
103		0.000000 ms
104		0.000000 ms
105		0.000000 ms
106		0.000000 ms
107		0.000000 ms
108		0.000000 ms
109		0.000000 ms
110		0.000000 ms
111		0.000000 ms
112		0.000000 ms
113		0.000000 ms
114		0.000000 ms
115		0.000000 ms
116		0.000000 ms
117		0.000000 ms
118		0.000000 ms
119		0.000000 ms
120		0.000000 ms
121		0.000000 ms
122		0.000000 ms
123		0.000000 ms
124		0.000000 ms
125		0.000000 ms
126		0.000000 ms
127		0.000000 ms
128		0.000000 ms
129		0.000000 ms
130		0.000000 ms
==> Duracion media de suma 	0.000000 ms 

