  RANDOM SOURCE
  SEED :     2123    1642    4095    1001
  KAPPA :  ( 0.2400000000000000, 0.0000000000000000)
  NITER :           75
       1 0.62338996E+00
       2 0.48860941E+00
       3 0.36755621E+00
       4 0.29036572E+00
       5 0.64614036E+00
       6 0.42920569E+00
       7 0.32553582E+00
       8 0.10950168E+01
       9 0.27080088E+00
      10 0.33555590E+00
      11 0.16019900E+00
      12 0.77677218E-01
      13 0.57229346E-01
      14 0.53497383E-01
      15 0.48794030E-01
      16 0.40645906E-01
      17 0.37242837E-01
      18 0.29966217E-01
      19 0.27703617E-01
      20 0.33649046E-01
      21 0.19537945E+00
      22 0.13118420E-01
      23 0.11241641E-01
      24 0.90182132E-02
      25 0.79757994E-02
      26 0.84462966E-02
      27 0.69627202E-02
      28 0.66335761E-02
      29 0.61235737E-02
      30 0.53951611E-02
      31 0.51329823E-02
      32 0.46087736E-02
      33 0.39988565E-02
      34 0.29876749E-02
      35 0.29517531E-02
      36 0.24255164E-02
      37 0.30572758E-02
      38 0.27758259E-02
      39 0.20212440E-02
      40 0.13361415E-02
      41 0.13309788E-02
      42 0.14327457E-02
      43 0.45997525E-02
      44 0.12107471E-02
      45 0.82017755E-03
      46 0.53337782E-03
      47 0.44075628E-03
      48 0.41549971E-03
      49 0.28624459E-03
      50 0.23619966E-03
      51 0.16881483E-03
      52 0.15079434E-03
      53 0.12349245E-03
      54 0.11134132E-03
      55 0.97773136E-04
      56 0.92506028E-04
      57 0.68273843E-04
      58 0.58551260E-04
      59 0.62607688E-04
      60 0.50098323E-04
      61 0.49367787E-04
      62 0.47509791E-04
      63 0.70103928E-04
      64 0.27603221E-04
      65 0.23073510E-04
      66 0.19223820E-04
      67 0.13663549E-04
      68 0.12435038E-04
      69 0.11434271E-04
      70 0.14496989E-04
      71 0.98960310E-05
      72 0.85070082E-05
      73 0.86339852E-05
      74 0.78627605E-05
      75 0.67336482E-05

 BICGSTAB RESULTS:
 ---------------------
 ITER         :           75
 EPSILON      :   6.7336481628876648E-006
